title,link,genre,rating,director,top_actors
1. Once Upon a Time... in Hollywood,/title/tt7131622/?ref_=sr_t_1,{Comedy|Drama},R,Quentin Tarantino,{Leonardo DiCaprio|Brad Pitt|Margot Robbie}
2. Harry Potter and the Sorcerer's Stone,/title/tt0241527/?ref_=sr_t_2,{Adventure|Family|Fantasy},PG,Chris Columbus,{Daniel Radcliffe|Rupert Grint|Emma Watson}
3. Deadpool 2,/title/tt5463162/?ref_=sr_t_3,{Action|Adventure|Comedy},R,David Leitch,{Ryan Reynolds|Josh Brolin|Morena Baccarin}
4. Killers of the Flower Moon,/title/tt5537002/?ref_=sr_t_4,{Crime|Drama|History},R,Martin Scorsese,{Leonardo DiCaprio|Robert De Niro|Lily Gladstone}
5. Aftersun,/title/tt19770238/?ref_=sr_t_5,{Drama},R,Charlotte Wells,{Paul Mescal|Frankie Corio|Celia Rowlson-Hall}
6. Office Space,/title/tt0151804/?ref_=sr_t_6,{Comedy},R,Mike Judge,{Ron Livingston|Jennifer Aniston|David Herman}
7. Watchmen,/title/tt0409459/?ref_=sr_t_7,{Action|Drama|Mystery},R,Zack Snyder,{Jackie Earle Haley|Patrick Wilson|Carla Gugino}
8. My Cousin Vinny,/title/tt0104952/?ref_=sr_t_8,{Comedy|Crime},R,Jonathan Lynn,{Joe Pesci|Marisa Tomei|Ralph Macchio}
9. The Fifth Element,/title/tt0119116/?ref_=sr_t_9,{Action|Adventure|Sci-Fi},PG-13,Luc Besson,{Bruce Willis|Milla Jovovich|Gary Oldman}
10. Mad Max 2: The Road Warrior,/title/tt0082694/?ref_=sr_t_10,{Action|Adventure|Sci-Fi},R,George Miller,{Mel Gibson|Bruce Spence|Michael Preston}
11. 300,/title/tt0416449/?ref_=sr_t_11,{Action|Drama},R,Zack Snyder,{Gerard Butler|Lena Headey|David Wenham}
12. Saw,/title/tt0387564/?ref_=sr_t_12,{Horror|Mystery|Thriller},R,James Wan,{Cary Elwes|Leigh Whannell|Danny Glover}
13. RoboCop,/title/tt0093870/?ref_=sr_t_13,{Action|Crime|Sci-Fi},R,Paul Verhoeven,{Peter Weller|Nancy Allen|Dan O'Herlihy}
14. Dark Waters,/title/tt9071322/?ref_=sr_t_14,{Biography|Drama|History},PG-13,Todd Haynes,{Mark Ruffalo|Anne Hathaway|Tim Robbins}
15. The Last of the Mohicans,/title/tt0104691/?ref_=sr_t_15,{Action|Adventure|Drama},R,Michael Mann,{Daniel Day-Lewis|Madeleine Stowe|Russell Means}
16. The Blind Side,/title/tt0878804/?ref_=sr_t_16,{Biography|Drama|Sport},PG-13,John Lee Hancock,{Quinton Aaron|Sandra Bullock|Tim McGraw}
17. The Whale,/title/tt13833688/?ref_=sr_t_17,{Drama},R,Darren Aronofsky,{Brendan Fraser|Sadie Sink|Ty Simpkins}
18. The Others,/title/tt0230600/?ref_=sr_t_18,{Horror|Mystery|Thriller},PG-13,Alejandro Amenábar,{Nicole Kidman|Christopher Eccleston|Fionnula Flanagan}
19. Stardust,/title/tt0486655/?ref_=sr_t_19,{Adventure|Family|Fantasy},PG-13,Matthew Vaughn,{Charlie Cox|Claire Danes|Sienna Miller}
20. Kung Fu Panda,/title/tt0441773/?ref_=sr_t_20,{Animation|Action|Adventure},PG,Mark Osborne,{Jack Black|Ian McShane|Angelina Jolie}
21. Moneyball,/title/tt1210166/?ref_=sr_t_21,{Biography|Drama|Sport},PG-13,Bennett Miller,{Brad Pitt|Robin Wright|Jonah Hill}
22. Star Wars: Episode III - Revenge of the Sith,/title/tt0121766/?ref_=sr_t_22,{Action|Adventure|Fantasy},PG-13,George Lucas,{Hayden Christensen|Natalie Portman|Ewan McGregor}
23. Hell or High Water,/title/tt2582782/?ref_=sr_t_23,{Crime|Drama|Thriller},R,David Mackenzie,{Chris Pine|Ben Foster|Jeff Bridges}
24. Minority Report,/title/tt0181689/?ref_=sr_t_24,{Action|Crime|Mystery},PG-13,Steven Spielberg,{Tom Cruise|Colin Farrell|Samantha Morton}
25. The Butterfly Effect,/title/tt0289879/?ref_=sr_t_25,{Drama|Sci-Fi|Thriller},R,Eric Bress,{Ashton Kutcher|Amy Smart|Melora Walters}
26. I Am Sam,/title/tt0277027/?ref_=sr_t_26,{Drama},PG-13,Jessie Nelson,{Sean Penn|Michelle Pfeiffer|Dakota Fanning}
27. The Boondock Saints,/title/tt0144117/?ref_=sr_t_27,{Action|Crime|Thriller},R,Troy Duffy,{Willem Dafoe|Sean Patrick Flanery|Norman Reedus}
28. Midnight in Paris,/title/tt1605783/?ref_=sr_t_28,{Comedy|Fantasy|Romance},PG-13,Woody Allen,{Owen Wilson|Rachel McAdams|Kathy Bates}
29. True Grit,/title/tt1403865/?ref_=sr_t_29,{Drama|Western},PG-13,Ethan Coen,{Jeff Bridges|Matt Damon|Hailee Steinfeld}
30. The Birds,/title/tt0056869/?ref_=sr_t_30,{Drama|Horror|Mystery},PG-13,Alfred Hitchcock,{Rod Taylor|Tippi Hedren|Jessica Tandy}
31. What We Do in the Shadows,/title/tt3416742/?ref_=sr_t_31,{Comedy|Horror},R,Jemaine Clement,{Jemaine Clement|Taika Waititi|Cori Gonzalez-Macuer}
32. Gone Baby Gone,/title/tt0452623/?ref_=sr_t_32,{Crime|Drama|Mystery},R,Ben Affleck,{Morgan Freeman|Ed Harris|Casey Affleck}
33. After Hours,/title/tt0088680/?ref_=sr_t_33,{Comedy|Crime|Drama},R,Martin Scorsese,{Griffin Dunne|Rosanna Arquette|Verna Bloom}
34. 3:10 to Yuma,/title/tt0381849/?ref_=sr_t_34,{Action|Crime|Drama},R,James Mangold,{Russell Crowe|Christian Bale|Ben Foster}
35. The Machinist,/title/tt0361862/?ref_=sr_t_35,{Drama|Thriller},R,Brad Anderson,{Christian Bale|Jennifer Jason Leigh|Aitana Sánchez-Gijón}
36. The Thin Red Line,/title/tt0120863/?ref_=sr_t_36,{Drama|History|War},R,Terrence Malick,{Jim Caviezel|Sean Penn|Nick Nolte}
37. The Royal Tenenbaums,/title/tt0265666/?ref_=sr_t_37,{Comedy|Drama},R,Wes Anderson,{Gene Hackman|Gwyneth Paltrow|Anjelica Huston}
38. The Raid: Redemption,/title/tt1899353/?ref_=sr_t_38,{Action|Crime|Thriller},R,Gareth Evans,{Iko Uwais|Ananda George|Ray Sahetapy}
39. Ponyo,/title/tt0876563/?ref_=sr_t_39,{Animation|Adventure|Comedy},G,Hayao Miyazaki,{Cate Blanchett|Matt Damon|Liam Neeson}
40. End of Watch,/title/tt1855199/?ref_=sr_t_40,{Action|Crime|Drama},R,David Ayer,{Jake Gyllenhaal|Michael Peña|Anna Kendrick}
41. Rushmore,/title/tt0128445/?ref_=sr_t_41,{Comedy|Drama|Romance},R,Wes Anderson,{Jason Schwartzman|Bill Murray|Olivia Williams}
42. Run Lola Run,/title/tt0130827/?ref_=sr_t_42,{Action|Crime|Thriller},R,Tom Tykwer,{Franka Potente|Moritz Bleibtreu|Herbert Knaup}
43. The Mitchells vs. the Machines,/title/tt7979580/?ref_=sr_t_43,{Animation|Adventure|Comedy},PG,Michael Rianda,{Abbi Jacobson|Danny McBride|Maya Rudolph}
44. 50/50,/title/tt1306980/?ref_=sr_t_44,{Comedy|Drama|Romance},R,Jonathan Levine,{Joseph Gordon-Levitt|Seth Rogen|Anna Kendrick}
45. 21 Grams,/title/tt0315733/?ref_=sr_t_45,{Crime|Drama|Thriller},R,Alejandro G. Iñárritu,{Sean Penn|Benicio Del Toro|Naomi Watts}
46. The Last King of Scotland,/title/tt0455590/?ref_=sr_t_46,{Biography|Drama|History},R,Kevin Macdonald,{James McAvoy|Forest Whitaker|Gillian Anderson}
47. Barton Fink,/title/tt0101410/?ref_=sr_t_47,{Comedy|Drama|Thriller},R,Joel Coen,{John Turturro|John Goodman|Judy Davis}
48. Rebel Without a Cause,/title/tt0048545/?ref_=sr_t_48,{Drama},PG-13,Nicholas Ray,{James Dean|Natalie Wood|Sal Mineo}
49. The Bridges of Madison County,/title/tt0112579/?ref_=sr_t_49,{Drama|Romance},PG-13,Clint Eastwood,{Clint Eastwood|Meryl Streep|Annie Corley}
50. Belle de Jour,/title/tt0061395/?ref_=sr_t_50,{Drama|Romance},Approved,Luis Buñuel,{Catherine Deneuve|Jean Sorel|Michel Piccoli}
51. Short Cuts,/title/tt0108122/?ref_=sr_t_51,{Comedy|Drama},R,Robert Altman,{Andie MacDowell|Julianne Moore|Tim Robbins}
52. When Marnie Was There,/title/tt3398268/?ref_=sr_t_52,{Animation|Drama|Family},PG,Hiromasa Yonebayashi,{Sara Takatsuki|Kasumi Arimura|Nanako Matsushima}
53. The Little Prince,/title/tt1754656/?ref_=sr_t_53,{Animation|Adventure|Drama},PG,Mark Osborne,{Jeff Bridges|Mackenzie Foy|Rachel McAdams}
54. Control,/title/tt0421082/?ref_=sr_t_54,{Biography|Drama|Music},R,Anton Corbijn,{Sam Riley|Samantha Morton|Craig Parkinson}
55. Philomena,/title/tt2431286/?ref_=sr_t_55,{Biography|Comedy|Drama},PG-13,Stephen Frears,{Judi Dench|Steve Coogan|Sophie Kennedy Clark}
56. Furiosa: A Mad Max Saga,/title/tt12037194/?ref_=sr_t_56,{Action|Adventure|Sci-Fi},R,George Miller,{Anya Taylor-Joy|Chris Hemsworth|Tom Burke}
57. Godzilla Minus One,/title/tt23289160/?ref_=sr_t_57,{Action|Adventure|Drama},PG-13,Takashi Yamazaki,{Minami Hamabe|Ryunosuke Kamiki|Sakura Andô}
58. Anatomy of a Fall,/title/tt17009710/?ref_=sr_t_58,{Crime|Drama|Thriller},R,Justine Triet,{Sandra Hüller|Swann Arlaud|Milo Machado-Graner}
59. Mission: Impossible - Dead Reckoning Part One,/title/tt9603212/?ref_=sr_t_59,{Action|Adventure|Thriller},PG-13,Christopher McQuarrie,{Tom Cruise|Hayley Atwell|Ving Rhames}
60. All of Us Strangers,/title/tt21192142/?ref_=sr_t_60,{Drama|Romance},R,Andrew Haigh,{Andrew Scott|Paul Mescal|Carter John Grout}
61. John Wick: Chapter 4,/title/tt10366206/?ref_=sr_t_61,{Action|Crime|Thriller},R,Chad Stahelski,{Keanu Reeves|Laurence Fishburne|George Georgiou}
62. The Goonies,/title/tt0089218/?ref_=sr_t_62,{Adventure|Comedy|Family},PG,Richard Donner,{Sean Astin|Josh Brolin|Jeff Cohen}
63. Training Day,/title/tt0139654/?ref_=sr_t_63,{Crime|Drama|Thriller},R,Antoine Fuqua,{Denzel Washington|Ethan Hawke|Scott Glenn}
64. Man on Fire,/title/tt0328107/?ref_=sr_t_64,{Action|Crime|Drama},R,Tony Scott,{Denzel Washington|Christopher Walken|Dakota Fanning}
65. Sicario,/title/tt3397884/?ref_=sr_t_65,{Action|Crime|Drama},R,Denis Villeneuve,{Emily Blunt|Josh Brolin|Benicio Del Toro}
66. Brokeback Mountain,/title/tt0388795/?ref_=sr_t_66,{Drama|Romance},R,Ang Lee,{Jake Gyllenhaal|Heath Ledger|Michelle Williams}
67. The Hangover,/title/tt1119646/?ref_=sr_t_67,{Comedy},R,Todd Phillips,{Zach Galifianakis|Bradley Cooper|Justin Bartha}
68. Blue Velvet,/title/tt0090756/?ref_=sr_t_68,{Crime|Drama|Mystery},R,David Lynch,{Isabella Rossellini|Kyle MacLachlan|Dennis Hopper}
69. Harry Potter and the Goblet of Fire,/title/tt0330373/?ref_=sr_t_69,{Adventure|Family|Fantasy},PG-13,Mike Newell,{Daniel Radcliffe|Emma Watson|Rupert Grint}
70. Airplane!,/title/tt0080339/?ref_=sr_t_70,{Comedy},PG,Jim Abrahams,{Robert Hays|Julie Hagerty|Leslie Nielsen}
71. 500 Days of Summer,/title/tt1022603/?ref_=sr_t_71,{Comedy|Drama|Romance},PG-13,Marc Webb,{Zooey Deschanel|Joseph Gordon-Levitt|Geoffrey Arend}
72. Ocean's Eleven,/title/tt0240772/?ref_=sr_t_72,{Crime|Thriller},PG-13,Steven Soderbergh,{George Clooney|Brad Pitt|Julia Roberts}
73. X-Men: First Class,/title/tt1270798/?ref_=sr_t_73,{Action|Sci-Fi},PG-13,Matthew Vaughn,{James McAvoy|Michael Fassbender|Jennifer Lawrence}
74. The Day the Earth Stood Still,/title/tt0043456/?ref_=sr_t_74,{Drama|Sci-Fi},G,Robert Wise,{Michael Rennie|Patricia Neal|Hugh Marlowe}
75. Kingsman: The Secret Service,/title/tt2802144/?ref_=sr_t_75,{Action|Adventure|Comedy},R,Matthew Vaughn,{Colin Firth|Taron Egerton|Samuel L. Jackson}
76. Blue Is the Warmest Colour,/title/tt2278871/?ref_=sr_t_76,{Drama|Romance},NC-17,Abdellatif Kechiche,{Léa Seydoux|Adèle Exarchopoulos|Salim Kechiouche}
77. Zodiac,/title/tt0443706/?ref_=sr_t_77,{Crime|Drama|Mystery},R,David Fincher,{Jake Gyllenhaal|Robert Downey Jr.|Mark Ruffalo}
78. Ex Machina,/title/tt0470752/?ref_=sr_t_78,{Drama|Sci-Fi|Thriller},R,Alex Garland,{Alicia Vikander|Domhnall Gleeson|Oscar Isaac}
79. Lost in Translation,/title/tt0335266/?ref_=sr_t_79,{Comedy|Drama},R,Sofia Coppola,{Bill Murray|Scarlett Johansson|Giovanni Ribisi}
80. Blazing Saddles,/title/tt0071230/?ref_=sr_t_80,{Comedy|Western},R,Mel Brooks,{Cleavon Little|Gene Wilder|Slim Pickens}
81. Fried Green Tomatoes,/title/tt0101921/?ref_=sr_t_81,{Drama},PG-13,Jon Avnet,{Kathy Bates|Jessica Tandy|Mary Stuart Masterson}
82. As Good as It Gets,/title/tt0119822/?ref_=sr_t_82,{Comedy|Drama|Romance},PG-13,James L. Brooks,{Jack Nicholson|Helen Hunt|Greg Kinnear}
83. Taken,/title/tt0936501/?ref_=sr_t_83,{Action|Crime|Thriller},PG-13,Pierre Morel,{Liam Neeson|Maggie Grace|Famke Janssen}
84. Black Hawk Down,/title/tt0265086/?ref_=sr_t_84,{Action|Drama|History},R,Ridley Scott,{Josh Hartnett|Ewan McGregor|Tom Sizemore}
85. The Banshees of Inisherin,/title/tt11813216/?ref_=sr_t_85,{Comedy|Drama},R,Martin McDonagh,{Colin Farrell|Brendan Gleeson|Kerry Condon}
86. A Few Good Men,/title/tt0104257/?ref_=sr_t_86,{Drama|Thriller},R,Rob Reiner,{Tom Cruise|Jack Nicholson|Demi Moore}
87. Gravity,/title/tt1454468/?ref_=sr_t_87,{Drama|Sci-Fi|Thriller},PG-13,Alfonso Cuarón,{Sandra Bullock|George Clooney|Ed Harris}
88. Tangled,/title/tt0398286/?ref_=sr_t_88,{Animation|Adventure|Comedy},PG,Nathan Greno,{Mandy Moore|Zachary Levi|Donna Murphy}
89. The Game,/title/tt0119174/?ref_=sr_t_89,{Drama|Mystery|Thriller},R,David Fincher,{Michael Douglas|Deborah Kara Unger|Sean Penn}
90. Harry Potter and the Deathly Hallows: Part 1,/title/tt0926084/?ref_=sr_t_90,{Adventure|Family|Fantasy},PG-13,David Yates,{Daniel Radcliffe|Emma Watson|Rupert Grint}
91. Coraline,/title/tt0327597/?ref_=sr_t_91,{Animation|Drama|Family},PG,Henry Selick,{Dakota Fanning|Teri Hatcher|John Hodgman}
92. Home Alone,/title/tt0099785/?ref_=sr_t_92,{Comedy|Family},PG,Chris Columbus,{Macaulay Culkin|Joe Pesci|Daniel Stern}
93. And Your Mother Too,/title/tt0245574/?ref_=sr_t_93,{Drama},2001,Alfonso Cuarón,{Maribel Verdú|Gael García Bernal|Daniel Giménez Cacho}
94. Scarface,/title/tt0023427/?ref_=sr_t_94,{Action|Crime|Drama},PG,Howard Hawks,{Paul Muni|Ann Dvorak|Karen Morley}
95. Gattaca,/title/tt0119177/?ref_=sr_t_95,{Drama|Sci-Fi|Thriller},PG-13,Andrew Niccol,{Ethan Hawke|Uma Thurman|Jude Law}
96. Wind River,/title/tt5362988/?ref_=sr_t_96,{Crime|Drama|Mystery},R,Taylor Sheridan,{Elizabeth Olsen|Jeremy Renner|Graham Greene}
97. The Worst Person in the World,/title/tt10370710/?ref_=sr_t_97,{Comedy|Drama|Romance},R,Joachim Trier,{Renate Reinsve|Anders Danielsen Lie|Herbert Nordrum}
98. Captain America: The Winter Soldier,/title/tt1843866/?ref_=sr_t_98,{Action|Adventure|Sci-Fi},PG-13,Anthony Russo,{Chris Evans|Samuel L. Jackson|Scarlett Johansson}
99. The Count of Monte Cristo,/title/tt0245844/?ref_=sr_t_99,{Action|Adventure|Drama},PG-13,Kevin Reynolds,{Jim Caviezel|Guy Pearce|Christopher Adamson}
100. Deliverance,/title/tt0068473/?ref_=sr_t_100,{Adventure|Drama|Thriller},R,John Boorman,{Jon Voight|Burt Reynolds|Ned Beatty}
101. Toy Story 4,/title/tt1979376/?ref_=sr_t_101,{Animation|Adventure|Comedy},G,Josh Cooley,{Tom Hanks|Tim Allen|Annie Potts}
103. The French Connection,/title/tt0067116/?ref_=sr_t_103,{Action|Crime|Drama},R,William Friedkin,{Gene Hackman|Roy Scheider|Fernando Rey}
104. Mission: Impossible - Fallout,/title/tt4912910/?ref_=sr_t_104,{Action|Adventure|Thriller},PG-13,Christopher McQuarrie,{Tom Cruise|Henry Cavill|Ving Rhames}
105. Halloween,/title/tt0077651/?ref_=sr_t_105,{Horror|Thriller},R,John Carpenter,{Donald Pleasence|Jamie Lee Curtis|Tony Moran}
"106. O Brother, Where Art Thou?",/title/tt0190590/?ref_=sr_t_106,{Comedy|Crime|Drama},PG-13,Joel Coen,{George Clooney|John Turturro|Tim Blake Nelson}
